BuildingType,PrimaryPropertyType,City,State,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),Electricity(kWh)
SPS-District K-12,K-12 School,Seattle,WA,98103.0,4,LAKE UNION,47.65708,-122.33803,2010,3,127776,1093179.875
NonResidential,Hotel,Seattle,WA,98109.0,3,LAKE UNION,47.62972,-122.32906,1998,5,93920,1195550.25
Nonresidential COS,Other,Seattle,WA,98109.0,3,LAKE UNION,47.62759,-122.33661,1900,1,50000,1113108.0
Nonresidential COS,Warehouse,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1926,2,50292,126164.6016
NonResidential,Hotel,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,1998,7,153315,1620980.875
SPS-District K-12,K-12 School,Seattle,WA,98117.0,6,BALLARD,47.68359,-122.37308,1999,2,67235,458595.4063
Nonresidential COS,Small- and Mid-Sized Office,Seattle,WA,98103.0,5,NORTHWEST,47.70044,-122.34136,1957,2,91130,2079127.75
SPS-District K-12,K-12 School,Seattle,WA,98136.0,1,SOUTHWEST,47.54025,-122.3885,1991,3,58118,339524.3125
NonResidential,Hotel,Seattle,WA,98133.0,5,NORTHWEST,47.70916,-122.33216,1968,4,64893,768038.625
SPS-District K-12,K-12 School,Seattle,WA,98115.0,5,NORTH,47.69823,-122.32126,1989,2,52792,0.0
SPS-District K-12,K-12 School,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.53809,-122.29591,1925,1,70762,143935.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60105,-122.33518,1900,3,44558,386177.4063
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59544,-122.33159,1999,6,1258280,14490010.0
Nonresidential COS,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57199,-122.32811,1924,2,179161,2570956.75
Nonresidential COS,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57199,-122.32811,1965,2,58640,1151434.625
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59085,-122.33354,1999,3,1172127,11905739.0
NonResidential,Hotel,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59269,-122.33372,2005,9,153882,1826563.0
NonResidential,Warehouse,Seattle,WA,98134.0,1,GREATER DUWAMISH,47.57507,-122.35747,1916,4,79600,706741.5
SPS-District K-12,K-12 School,Seattle,WA,98103.0,4,LAKE UNION,47.65996,-122.33962,1997,4,241066,907478.3125
Campus,Large Office,Seattle,WA,98108.0,1,GREATER DUWAMISH,47.52429,-122.31234,1980,2,302494,13282936.0
NonResidential,Other,Seattle,WA,98125.0,5,NORTH,47.70281,-122.32532,2008,6,84739,2050189.25
NonResidential,Mixed Use Property,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.35756,2002,4,110785,2971733.5
Multifamily MR (5-9),Mid-Rise Multifamily,Seattle,WA,98121.0,7,DOWNTOWN,47.61316,-122.34153,2003,7,116947,1612727.625
NonResidential,Hotel,Seattle,WA,98101.0,7,DOWNTOWN,47.61275,-122.3333,1999,0,934292,11536962.0
NonResidential,Hospital,Seattle,WA,98122.0,3,CENTRAL,47.60705,-122.30966,1990,5,597519,17220084.0
SPS-District K-12,K-12 School,Seattle,WA,98106.0,1,DELRIDGE,47.52518,-122.34828,1999,1,71714,569817.125
NonResidential,Warehouse,Seattle,WA,98103.0,4,LAKE UNION,47.65097,-122.34227,1991,3,67236,124086.0
NonResidential,Hospital,Seattle,WA,98104.0,3,EAST,47.60399,-122.32377,2000,8,1158691,49438336.0
NonResidential,Senior Care Community,Seattle,WA,98104.0,2,DOWNTOWN,47.59626,-122.3218,1999,5,90185,2177261.5
SPS-District K-12,K-12 School,Seattle,WA,98116.0,1,SOUTHWEST,47.57678,-122.38459,2002,2,208981,1434598.625
Multifamily MR (5-9),Mid-Rise Multifamily,Seattle,WA,98101.0,7,EAST,47.6136,-122.32785,1909,6,51976,490372.4063
NonResidential,K-12 School,Seattle,WA,98105.0,4,NORTHEAST,47.66568,-122.31368,1928,2,55653,1798.900024
NonResidential,Hotel,Seattle,WA,98105.0,4,NORTHEAST,47.66151,-122.31457,1931,16,106860,1043886.875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98125.0,5,NORTH,47.71895,-122.29475,1972,5,50759,749863.125
NonResidential,Worship Facility,Seattle,WA,98105.0,4,NORTHEAST,47.66182,-122.31113,1952,2,56772,285789.1875
NonResidential,Worship Facility,Seattle,WA,98105.0,4,NORTHEAST,47.6626,-122.31164,1952,3,103000,685356.0
SPS-District K-12,K-12 School,Seattle,WA,98115.0,4,NORTHEAST,47.67723,-122.31281,2006,3,269297,2111361.25
SPS-District K-12,K-12 School,Seattle,WA,98115.0,4,NORTHEAST,47.67184,-122.29221,2001,3,75174,465868.5
SPS-District K-12,K-12 School,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.64052,-122.3656,2003,3,75214,508113.9063
SPS-District K-12,K-12 School,Seattle,WA,98116.0,1,SOUTHWEST,47.57298,-122.39028,2005,3,134918,848506.625
SPS-District K-12,K-12 School,Seattle,WA,98144.0,3,CENTRAL,47.59096,-122.29985,1991,2,64414,672677.6875
SPS-District K-12,K-12 School,Seattle,WA,98115.0,6,NORTHWEST,47.67725,-122.32232,1927,3,92437,283665.3125
NonResidential,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.61103,-122.33238,1914,7,128766,1680143.5
NonResidential,Residence Hall,Seattle,WA,98101.0,7,DOWNTOWN,47.6079,-122.33266,1913,9,107572,731552.1875
NonResidential,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.60699,-122.33481,1955,15,230880,18228948.0
Multifamily LR (1-4),Low-Rise Multifamily,Seattle,WA,98106.0,1,DELRIDGE,47.56379,-122.36301,1917,4,56617,349325.6875
Multifamily MR (5-9),Mid-Rise Multifamily,Seattle,WA,98125.0,5,NORTH,47.72232,-122.29181,2009,6,56745,455824.8125
Multifamily LR (1-4),Low-Rise Multifamily,Seattle,WA,98118.0,2,GREATER DUWAMISH,47.53685,-122.28406,2003,4,67920,784061.125
SPS-District K-12,K-12 School,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.55237,-122.31391,2007,3,204961,1327293.75
NonResidential,Other,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63965,-122.3783,1973,1,76086,458196.3125
NonResidential,Medical Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.61972,-122.36033,1927,5,151000,5493974.5
NonResidential,Hotel,Seattle,WA,98121.0,7,DOWNTOWN,47.6124,-122.35075,1961,4,122309,1853028.5
Campus,Other,Seattle,WA,98125.0,7,DOWNTOWN,47.61137,-122.34947,1995,3,215476,4041281.75
NonResidential,Hotel,Seattle,WA,98121.0,7,DOWNTOWN,47.61069,-122.34653,2003,8,215473,4033863.5
Nonresidential COS,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.60729,-122.34211,1980,2,69400,3087447.25
NonResidential,Mixed Use Property,Seattle,WA,98104.0,7,DOWNTOWN,47.6041,-122.33958,1900,1,62900,1110179.625
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60271,-122.33557,1914,4,56500,260120.7031
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59486,-122.32455,2008,4,203504,1109402.75
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61757,-122.35122,1968,3,74003,2868908.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61703,-122.35012,1981,4,59158,1256184.75
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61619,-122.34599,1978,12,212210,5347641.0
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61217,-122.33694,1989,25,369996,7255300.0
NonResidential,Retail Store,Seattle,WA,98101.0,7,DOWNTOWN,47.61229,-122.33629,1925,10,693450,10989762.0
NonResidential,Large Office,Seattle,WA,98191.0,7,DOWNTOWN,47.61316,-122.3343,1976,33,791396,11969413.0
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61399,-122.33523,2000,23,542671,8172315.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61356,-122.33665,1926,10,55652,397961.5938
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61375,-122.33566,1930,17,174790,1974231.0
